text_clean,label
kode ebiling,Negatif
jelek daftar sulit aplikasi tinggal voc,Negatif
fungsi,Negatif
apk indak,Negatif
kerja aplikasi mudah susah,Negatif
aplikasi henti samsung j2 prime,Negatif
pokok ulas bintang 1 like semuaaaa anccuuurrrrrrrrr,Negatif
telepon angkat angkat deh habis 100rebu pulsa cs kantor pajak ganti pakai cs bank,Negatif
aplikasi sampah buang buang,Negatif
burukkkk,Negatif
anehhhh instal suruh update developer bikin emosi tog,Negatif
coba bintang ya min bagus tambah bintang,Positif
tidal pakai hp vivo y67 software funtouch 3,Negatif
korupsi sih pajak tolollll aplikasi web tulis email pakai langsung reset tulis tolollll pajak korupsi tolollll,Negatif
aplikasi perintah buang anggar guna indonesia cemas 2045 pecat tim nya alas gal bayar pajak aplikasi goblog,Negatif
aplikasi sesal download,Negatif
bikin npwp sulit error,Negatif
apk plat merah apk sampah,Negatif
bayar pajak warga mudah online urus mudah,Positif
apk sampahudh kali masuk kode verifikasi sesuai kode masuk gagal,Negatif
login susah email pw salah freak,Negatif
login website masuk bug,Positif
layan mudah genggam mudah wajib pajak malas ribet ngabisin pulsa doang,Negatif
aplikasi lot web,Negatif
coba,Negatif
goblk becus lu aplikasi server web down kelas sedia layan negara sampah lu kerja kapai sih bagus serverwebapk judi online,Negatif
baik sistem kelas apk nasional kayak trash banget niat gaji warga,Negatif
layan sampah pemerintahfitur live chat pas buka bilang jaring baguschat berakhirdongooo gue tunggu tugas kring konsultasi tunggu jawabangiliran masuk kali error layan tolol,Negatif
web deplop nya magang kah web nya apk nya perintah nya enggak jelas bayar pro kah web kelas perintah bobrok ampun web apk biar mudah kayak orang tolol muter muter doang suruh taat pajak sistem pajak nya harap kelola kayak susah sih bayar pro enggak usah pakai anak magang biar tuh web apk enggak jelas enggak jelas capeee,Negatif
apk bagong buang2 ngisi data ribett banget tulis muncul bikin emosi,Negatif
mantap,Positif
apk ppk error truss,Negatif
enggak bisa login eror mulu,Negatif
sampah,Negatif
apk perintah ya eror mulu,Negatif
woi hati hati bos aplikasi kayak aplikasi ilegalmau dft hari masuk ulang ulang terussalah salah data salah gunakandtg langsung kak kantor pjk bos kalo npwp,Negatif
aplikasi sampah sampah sampah,Negatif
log,Negatif
sumpah bagong apk fungsi hasil kna pajakterus kasih surat tegur suruh byr pajak menhubungi apk fungsi apk nya,Negatif
buka orang pintar ya bikin aplikasi kayak amburadul login ribetnya ampun ribet kagak login ribet bobol hacker lawak lawak mudah sulit sulit capek capek,Negatif
tugas pajak kota serang jutek ya loket 13 buka 3 parah usaha negara,Negatif
apasih departemen perintah bobrok apk perintah bobrok susah akses sulit offline sulit,Negatif
kecewa dirjen pajak uang pajak kerja kasar korupsi,Negatif
aplikasi sampahhh aplikasi institusi payah,Negatif
aplikasi payah mudah sulit tolong baik aplikasi biaya negara loh,Negatif
down server,Negatif
okey,Positif
yuk ramai ramai tag sri mulyani aplikasi nya tag rame rame biar budeg kuping nya,Negatif
web langkah 2 capcha reload ngulang daftar pc,Negatif
masuk aplikasi langsung suruh update pengin kasar pengin sangka orgnya kasar update jalanengga jinglah,Negatif
aplikasi gilo suruh gisih data sesuai ktp tulis lurah salah aplikasi tolol tulis data ktp alamat salah eror tolol,Negatif
login aplikasi ribet daftar login aplikasi login kpp dekat efin guna online,Negatif
download masuk konten tretan muslim ajahehe,Positif
aplikasi susah no otp ratus kali verifikasi suruh ulang melulu,Negatif
aplikasi perintah manual online ribetnya gilir pajak suruh taat layan online bikin makan pikir makan hati aplikasi sampah cuman ngabisin anggar doang,Negatif
kemarin login lapor kantor kpp pratama suruh online app eror nya,Negatif
aplikasi sampah atur suka minimal pakai apk pro eror mulu,Negatif
admin aplikasi lu parah banget,Negatif
sulit login login website nya,Negatif
aplikasi susah login,Negatif
aplikasi fitur efin fitir daftar guna akses,Negatif
daftar mulu,Negatif
buruk guna mending buang playstore,Negatif
aplikasi sampah anjing bikin orang buang buang mana orang pakai apkikasi biar mudah bikin susah web aplikasi sampah produk gagal daftar kode efin suruh donlot aplikasi donlot daftar selesai data error suruh ulang doang maju indonesia dasar apk sampah,Negatif
buruk lot,Negatif
aplikasi sampah,Negatif
lupa pasword sulit serius sih bikin aplikasi susah masyarakat,Negatif
wajib pajak padan nik data daftar payah banget,Negatif
ribet bayar pajak ribet duit aju efin gagal,Negatif
habisin dana hasil nya wkakakakak lawak,Negatif
aplikasi sih solusi mudah entar bilang belit belit,Negatif
susah login tolong baik,Negatif
bantu lapor tahun,Positif
bapakibu hormat aplikasi enggak bisa login wei,Negatif
aplikasi lemott customer service bot doang app perintah enggak ada beress anggara korupsi,Negatif
,Positif
ya biasa sih cari selisih ngebuat aplikasi ya isi orang muak,Negatif
aplikasi super eror,Negatif
sampah webnya fungsi login susah kolom username isi isi salah mulu username password benartersimpan otomatis chrome suruh padan niknpwp login habis download aplikasi suruh update didownload versi baru muter doang dirjen pajak tugas kapai sih malak bikin webapk susah fungsi web kolom kritik saran tombol kirim anti kritik,Negatif
mudah sulit,Negatif
aplikasi mutu lapor pajak susah,Negatif
aplikasi banget daftar via web login aplikasi salah salah,Negatif
bayar pajak ribet,Negatif
,Positif
bantu,Positif
ribet ah daftar mesti simpel,Negatif
bolak pasfoto aplikasi mudah sulit hadeh online efin susah maaf langsung buka mudah syulit,Negatif
app kelas perintah bikin emosi guna error indonesia kurang orang pintar bikin app bagus,Negatif
aplikasi menyukitkan bergunaemding pajak,Negatif
download hapus gblk,Negatif
bikin malu aplikasi,Negatif
mohon update min aplikasi nya eror mulu login eror data,Negatif
bagus bantu,Positif
aplikasi capek capek isi data ujung ujung erorkalau bikin aplikasi niat bos bayar pajak susah ribet,Negatif
aplikasi daftar ribet,Negatif
sampah,Negatif
isi form alamat email hilang huruf,Negatif
masuk data ambil efin aplikasi install,Negatif
disiplin bayar pajak cermin budaya bangsa hebat,Positif
akalau bagia hapus bos,Positif
apk ghoblokk,Negatif
kantor bayarin pajak karyawan suruh lapor ribet lapor denda akal nya mana kerja haram mungut pajak saran muslim tobat henti mungut pajak orang gaji bawah umr palak pajak suruh lapor lapor denda otak otak,Negatif
aplikasi repot orang djb gaji langit layan buruk aplikasi mudah belit belit,Negatif
masuk apk nya susah banget mental mental pie iki nyusah,Negatif
aplikasi tolollll masuk chapta salahhh,Negatif
erti banget,Negatif
bikin nomor efin gagal,Negatif
mentok tahap 2 apa ya bisaemang lawak negara konoha pajak persulitlawakkkkkkk,Negatif
aplikasi eror npwp sandi log inperbaiki coba kecewa orang,Negatif
download buang buang kuota aplikasi live chatnya jalan urus npwp16,Negatif
good apk,Positif
uji coba,Negatif
aplikasi bikin liyer keun daftar langkah 2 susah msukan kode otp plz habis daftar,Positif
ok thanks,Positif
aplikasi orangmau daftar payah login ya banyak makan duit,Negatif
susah bikin verifikasi email enggak ada mulu,Negatif
daftar log susah banget kantor cabang dekat,Negatif
mpajak bagus aplikasi rumit,Positif
aplikasi bayar pajak mudah korupsi uang rakyat,Negatif
coba buka aplikasi games pow rating 44 zuma uwow,Negatif
aplikasi kagak,Negatif
ribet payah konyol verifikasi data gagal,Negatif
apk lot kalo developer niat bikin sklian bikin ruggi gue donload,Negatif
kalo aplikasi proyek dapat birokrasi rumit ribet layan mudah erti masyarakat login susah,Negatif
apk lawak ujungujungnya lapor website apk ajg,Negatif
pasti email email ku masuk email email daftar daftar pas coba pakai email ku hasil masuk tahap 3 banget tungguin jam masuk,Negatif
apas login effin,Negatif
restart bis masuk akun,Negatif
pakai 2 akun daftar,Negatif
mantap,Positif
layan payah gue selese daftar npwp tahap notif chack link aktifasi email pesan muncul2 email t,Negatif
kelas kantor pajak website aplikasi kalah kominfo website prakerja mudah diaksesini tuh daftar npwp deh via email tunggu diprosesmasyarakat sulit bayar pajak suruh rutin baik,Negatif
apk websitenya kantor pajak nya kalo bikin npwp sampah tonton bokep tuh situs web,Negatif
aplikasi ujungujungnya suruh kantor pajak payah,Negatif
aplikasi daftar data salah aplikasi sepenuh hasil luncur min,Negatif
aplikasi guna daftar email balas coba daftar kartu provider axis susah orang aplikasi mending,Negatif
buset deh,Negatif
sgat bantu,Positif
aplikasi data data enggak bisa login aktivasi butuh efin dapat efin suruh login enggak jelas banget web apknya anggar,Negatif
website burukaplikasi buruk,Negatif
payah,Negatif
aplikasi enggak jelas ribet susah,Negatif
mantap,Positif
aplikasi respon buka,Negatif
payah aplikasi nya gagal kode efin,Negatif
elek tenan habis pulsagak masukmasuk,Negatif
web payah banyak korupsi uang pajaknyaa baik websitenya uang bo lucu negeri cuman asih bijak solusi perintah sulit miskin masyarakat,Negatif
aplikasi lolot orang hasil ndaftar blokir blok,Negatif
gila wajib lapor pajak bayar pajak aplikasi kelas perintah jelek forclose2 buka buang2 duit bikin aplikasi abal-abal,Negatif
aplikasi insitusi kelas negara forma aplikasi scam kerja bagus,Negatif
buruk ulang salah tulis lurah kota menerusdari pusing goodby,Negatif
ter buruk,Negatif
kecewa sih online kpp kabupaten hmm,Negatif
ok,Positif
mantap,Positif
codingan eror parah sesuai nik bilang salah,Negatif
tolong aplikasi baik 2024 serba modern diupgrade macet lag aplikasi fungsi mudah sulit,Negatif
coba daftar npwp request otp kirim,Negatif
moga bantu,Positif
kasi bintang 1 10000000000005,Negatif
aplikasi payah otp kirim kirim,Negatif
aplikasi menu kasir andal sampah bayar pajak sulit kenyangin perut,Negatif
