content,score
gak bisa buat kode ebiling,1
"sangat jelek, mau daftar aja dipersulit. Aplikasi peninggalan VOC.",1
Gak fungsi,1
Apk Dak jelas,1
"Kerja gak bener, buat aplikasi juga bukannya memudahkan malah menyusahkan 👎",1
Aplikasi terhenti di samsung j2 prime,1
"Pokoknya semua yang ulasannya bintang 1, saya like semuaaaa :D :D :D anccuuurrrrrrrrr!!!!!",1
Tlp. G di angkat angkat Dah abis 100rebu pulsa Cs Kantor pajak ganti pake cs bank,1
Aplikasi sampah ga guna buang buang waktu saja,1
Burukkkk!!,1
Anehhhh.. baru instal kok udah disuruh update.. ini developernya gimna😤 bikin emosi tog.,1
Saya coba dlu bintang 🌟🌟🌟🌟 yh min klau bagus selanjutnya saya akan tambahkan lagi bintang,4
Tidal bisa Dipakai di hp vivo Y67 dgn software funtouch 3,1
"KORUPSI LAGI SI PAJAK INI TOLOLLLL, APLIKASI GAK GUNA, WEB JUGA GAK GUNA, SETIAP MAU TULIS EMAIL PAKE ""@"" LANGSUNG KE RESET TULISANNYA TOLOLLLL WONG PAJAK WONG KORUPSI TOLOLLLL",1
"Sudah biasa aplikasi pemerintah buang anggaran gak ada yang berguna, indonesia cemas 2045.. Pecat aja tim IT nya Tambah banyak alasan gal bayar pajak, aplikasinya goblog",1
Aplikasi gak jelas. Nyesel download,1
Mau bikin npwp aja di persulit banyak error,1
lagi dan lagi apk plat merah adalah apk sampah,1
"Dengan membayar pajak kita menjadi warga yang baik dan mudah digunakan meski lewat online, urusan menjadi lebih mudah",5
Apk sampah...udh beberapa x masukkan kode verifikasi sesuai dg kode yang masuk gagal terus,1
mau login susah bener email sudah benar pw sudah bener tetap saja di salahkan freak,1
"Kenapa ga bisa login?? Dari website masuk kok, apa ada bug ??",3
"Layanan mudah dalam genggaman... Mudah dari mana? Kami yang mau wajib pajak, jadi malas karena makin ribet, ngabisin pulsa doang.",1
Aplikasi lemot web g jelas ..,1
Mau coba dulu,1
"Gobl*k ga becus lu buat aplikasi server web juga down terus sekelas penyediaan layanan negara begini. sampah! Lu kerja ngapain aja si, lebih bagus server/web/apk judi online.",1
"Perbaiki sistemnya, sekelas apk nasional kayak trash banget, ga niat amat udah digaji warga",1
